Classification_Size,Classification_Focus,Research_Intensity,Status,Academic_Reputation_Score,Employer_Reputation_Score,Faculty_Student_Score,Citations_Per_Faculty_Score,International_Faculty_Score,International_Student_Score,Overall_Score
L,FC,VH,A,49.0,34.4,56.0,17.2,43.0,73.0,43.6
L,FC,VH,A,49.6,35.1,66.5,11.9,44.7,39.9,43.4
XL,FC,VH,A,51.3,28.1,24.1,66.4,17.8,19.0,43.4
L,FC,HI,A,33.1,49.3,20.9,59.4,98.0,81.8,43.3
XL,FC,VH,A,68.9,76.8,16.2,14.1,2.7,33.8,43.2
L,FO,VH,A,35.3,69.2,32.1,41.4,79.0,66.1,43.1
M,FC,HI,B,27.0,83.7,64.6,12.5,99.2,68.0,43
L,CO,MD,A,38.6,50.8,99.0,1.1,30.9,14.9,42.9
XL,FC,VH,A,69.5,20.3,13.1,38.2,20.9,32.5,42.9
L,FC,VH,A,28.7,28.8,46.2,50.9,87.1,91.1,42.8
XL,FC,VH,A,56.6,32.5,47.9,23.7,15.3,31.2,42.6
L,FC,VH,A,41.2,55.6,13.7,47.2,85.9,78.2,42.5
L,FC,VH,A,42.4,35.2,97.7,4.0,4.1,28.6,42.5
L,CO,VH,A,34.7,34.0,78.1,24.1,42.5,46.7,42.3
L,FC,HI,A,28.4,45.1,73.5,17.9,89.8,66.2,42
M,FC,VH,B,24.1,19.8,66.1,62.8,56.3,33.3,42
XL,FC,HI,A,74.5,48.1,22.3,8.9,14.2,2.7,41.8
L,CO,VH,A,31.5,30.2,5.7,78.0,94.2,91.9,41.8
XL,CO,VH,A,46.7,63.0,10.6,36.8,97.2,42.9,41.6
XL,CO,VH,A,43.8,74.8,13.3,23.0,100.0,84.4,41.6
L,CO,VH,A,51.9,29.5,17.4,63.1,17.3,14.2,41.5
M,CO,VH,A,37.6,43.6,82.4,11.0,7.2,56.3,41.3
L,FC,VH,A,42.4,29.5,70.7,23.8,15.3,32.0,41.3
L,FC,VH,B,25.4,17.9,85.8,46.5,7.0,46.9,41.2
L,CO,VH,A,32.8,38.9,85.9,12.5,35.2,51.4,41.1
XL,FC,HI,A,72.0,82.7,11.2,4.5,9.6,1.5,40.9
XL,FC,VH,A,58.5,58.4,23.9,20.6,15.9,38.3,40.9
L,CO,VH,A,49.3,31.1,32.0,44.5,33.3,14.7,40.6
L,FC,VH,B,34.7,61.6,71.4,21.1,10.2,28.3,40.6
L,FC,MD,B,66.0,77.2,17.1,6.5,30.9,2.8,40.6
L,FC,VH,A,36.4,47.9,38.4,43.9,72.0,19.8,40.5
M,CO,VH,A,24.1,29.1,26.7,63.4,98.2,99.0,40.5
L,CO,VH,A,36.2,71.7,21.0,48.8,35.0,62.0,40.5
L,CO,VH,A,38.7,49.1,23.4,35.0,100.0,64.7,40.4
L,CO,VH,A,41.3,21.5,36.0,46.7,60.8,40.0,40.3
M,CO,VH,A,41.1,51.6,23.8,67.6,3.0,1.1,40.2
M,FO,VH,A,30.1,26.2,79.5,37.1,13.3,28.5,40.2
L,FC,VH,A,48.2,43.8,46.7,22.1,27.2,27.5,40.2
XL,FC,VH,A,31.1,26.9,67.5,15.8,98.9,66.0,40.1
M,FC,VH,A,23.5,11.6,80.9,25.7,87.6,74.8,40.1
XL,FO,HI,A,63.4,78.8,4.7,3.9,22.2,77.5,40
S,FO,VH,A,13.4,82.5,93.0,9.6,12.6,99.7,39.8
M,FC,VH,B,33.3,85.7,52.2,18.8,17.3,55.3,39.8
L,FO,VH,A,25.6,87.6,6.9,69.6,55.5,49.7,39.6
L,CO,VH,A,29.4,35.6,24.6,47.8,95.7,99.1,39.6
L,FC,HI,A,27.1,17.0,43.4,49.8,82.1,82.7,39.5
L,CO,VH,A,42.4,49.1,55.0,22.3,8.7,30.7,39.4
L,FC,VH,A,32.8,33.6,75.2,25.3,46.4,7.3,39.3
XL,FC,MD,A,48.1,60.1,44.3,1.6,87.1,5.8,39.2
L,CO,VH,A,30.4,63.9,29.0,32.6,87.6,77.7,39.2
L,FC,VH,A,27.0,23.2,17.7,68.5,100.0,72.3,39.1
L,CO,VH,A,32.0,36.4,29.4,41.9,100.0,65.7,39.1
L,FO,VH,A,37.6,64.9,68.3,8.4,34.4,4.2,38.9
XL,FC,VH,A,43.9,57.9,22.8,37.5,52.7,13.6,38.8
XL,CO,VH,A,49.1,28.5,35.2,32.0,26.3,26.4,38.6
L,FC,HI,A,37.8,47.7,24.0,36.7,94.8,34.9,38.6
L,FC,VH,A,43.5,17.9,45.8,32.9,39.5,33.2,38.6
L,FC,HI,A,29.1,47.6,42.6,18.1,97.9,99.1,38.5
L,CO,VH,A,27.3,44.4,70.2,30.4,39.0,16.9,38.4
XL,FC,VH,A,28.9,40.2,3.4,97.3,23.9,27.4,38.4
